Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
18,,,4,,,1086,2622,,,1,71,1,87,,,,,
16,1,25,37,,,1087,375,,,0,70,3,1,,,,,
2,10,,47,45,11,1088,2973,,,1,68,1,108,,,,,
1,,,6,,,1089,939,,,0,69,3,1,,,,,
2,10,,6,,,1090,2481,,,1,56,3,123,,,,,
5,22,,4,,,1091,1366,,,0,65,3,8,,,,,
4,7,10,6,,,345,68,,,1,59,3,128,,,,,
2,29,17,21,6,,182,2366,,,1,59,1,157,,,,,
7,2,28,6,,,1092,1537,,,1,67,3,114,,,,,
7,10,,6,,,1093,204,,,1,67,2,127,,,,,
1,22,33,6,,,1094,2155,,,0,66,3,1,,,,,
1,22,,54,,,1095,909,,,0,67,1,1,,,,,
2,10,,6,,,68,1626,,,1,62,2,102,,,,,
7,10,29,6,,,1093,1812,3369,,1,61,1,124,,,,,
4,10,11,31,23,,1096,2006,,,1,70,2,132,,,,,
1,34,26,2,,,1097,695,,,0,70,2,1,,,,,
15,,,4,,,1098,289,,,0,71,3,1,,,,,
1,30,22,31,,,1099,330,,,0,67,1,1,,,,,
6,,,21,,,1100,2787,,,1,69,3,93,,,,,
6,10,,21,,,12,1863,,,1,69,3,113,,,,,
2,10,,19,52,,639,1271,,,1,67,3,96,,,,,
4,,,21,4,,1012,2702,,,1,54,1,133,,,,,
20,,,26,,,1101,925,,,1,68,1,69,,,,,
7,2,10,6,,,68,2771,,,1,53,3,185,,,,,
7,2,10,6,,,559,2771,,,1,67,2,174,,,,,
2,10,29,6,,,1102,225,,,1,54,1,176,,,,,
2,10,35,6,,,386,946,,,1,50,3,166,,,,,
10,29,35,6,,,1103,196,,,1,66,2,145,,,,,
4,2,10,6,,,386,3150,,,1,67,1,154,,,,,
19,,,4,,,12,97,,,0,59,3,1,,,,,
7,,,4,,,1104,1199,3365,,1,62,1,115,,,,,
16,12,,4,37,,1105,192,1199,,0,71,2,1,,,,,
15,,,12,,,12,2116,,,0,68,2,1,,,,,
16,12,,37,,,1106,2205,,,0,60,1,2,,,,,
12,,,4,,,1107,2805,3456,15,0,69,3,5,,,,,
12,,,4,,,1107,1193,,,0,70,2,3,,,,,
5,22,,4,,,1108,2727,,,0,70,2,1,,,,,
5,15,,4,,,12,1446,,,0,70,3,1,,,,,
1,22,,10,,,23,127,,,0,70,1,1,,,,,
4,10,,23,,,1109,137,,,1,37,2,90,,,,,
6,,,4,,,1110,1427,,,1,69,1,111,,,,,
26,23,33,4,,,84,1333,,,0,71,3,2,,,,,
23,,,4,,,1111,1399,,,0,70,3,2,,,,,
18,,,4,,,1112,1835,3405,,1,69,1,87,,,,,
4,10,11,18,4,28,816,1719,,,1,61,3,112,,,,,
9,27,,10,,,12,837,,,0,69,1,1,,,,,
2,28,10,19,80,,1113,3029,,,1,68,3,107,,,,,
13,7,,1,,,1114,1854,,,1,71,1,95,,,,,
7,10,,6,,,650,1282,,,1,62,3,106,,,,,
2,28,10,6,,,1115,197,,,1,61,2,121,,,,,
9,1,30,21,,,1116,216,,,0,69,3,2,,,,,
24,2,35,4,16,21,1117,1404,3443,,1,17,3,200,,,,,
23,,,4,,,1118,947,,,0,71,3,3,,,,,
2,18,,4,,,558,1815,,,1,68,1,93,,,,,
15,,,4,,,12,2812,,,0,70,2,1,,,,,
5,1,22,26,,,1119,911,,,0,70,3,1,,,,,
7,2,,4,,,991,2579,3479,,1,71,3,118,,,,,
1,22,,42,,,212,464,,,0,71,2,1,,,,,
22,,,4,,,1120,2294,,,0,71,3,1,,,,,
13,,,4,,,1121,2051,,,1,71,1,90,,,,,
13,2,,4,,,274,1481,3366,,1,66,2,107,,,,,
10,18,,27,19,16,1122,724,,,1,71,1,89,,,,,
4,24,2,6,,,181,714,,,1,30,3,158,,,,,
4,10,,6,,,386,2622,,,1,58,3,169,,,,,
4,10,29,6,26,,386,117,,,1,63,3,148,,,,,
7,28,,4,,,1123,2620,,,1,67,1,83,,,,,
20,,,4,,,1124,1562,3465,,1,64,3,65,,,,,
2,18,,4,,,1125,60,,,1,49,3,127,,,,,
3,,,4,30,2,1126,638,,,1,62,1,99,,,,,
5,15,,21,4,,12,745,,,0,71,3,1,,,,,
7,10,35,23,,,199,146,,,1,63,2,115,,,,,
7,10,35,23,31,,199,2097,,,1,66,1,113,,,,,
3,10,,21,,,53,1488,,,1,68,1,93,,,,,
6,10,,21,,,1127,477,,,1,68,2,93,,,,,
7,2,28,4,,,1128,864,,,1,68,2,92,,,,,
4,3,11,4,,,1129,253,,,1,71,1,97,,,,,
27,,,4,,,1130,51,,,0,65,2,1,,,,,
5,15,,4,,,12,2919,,,0,71,2,3,,,,,
2,10,35,6,,,1131,1805,,,1,71,1,134,,,,,
4,7,10,23,,,1132,787,,,1,41,1,94,,,,,
2,,,4,,,1133,1289,,,1,60,3,104,,,,,
2,10,,51,7,63,1134,888,,,1,70,2,126,,,,,
6,,,4,,,12,232,,,1,69,3,94,,,,,
13,7,,4,,,405,3030,3431,,1,55,1,82,,,,,
13,7,,19,31,37,1135,1253,,,1,70,2,86,,,,,
9,1,22,21,,,1136,1629,,,0,72,2,1,,,,,
16,1,,37,,,1137,766,,,0,70,2,1,,,,,
4,10,,23,31,,45,616,,,1,58,2,94,,,,,
4,11,,4,,,1138,1180,,,1,48,2,103,,,,,
4,11,,4,,,1139,1764,3447,,1,67,1,97,,,,,
4,11,,4,,,1140,3053,3520,,1,52,1,84,,,,,
4,11,,4,,,1141,763,,,1,69,1,98,,,,,
13,,,10,,,12,1096,,,1,70,1,68,,,,,
13,7,,4,,,1142,175,,,1,66,2,27,,,,,
12,26,,4,,,1142,882,,,0,70,3,6,,,,,
12,23,,10,,,1143,1367,,,0,71,2,1,,,,,
30,23,22,4,22,31,1144,2856,,,0,68,3,1,,,,,
6,,,4,,,1145,621,,,1,69,2,42,,,,,
6,10,,26,,,12,2412,,,1,69,1,92,,,,,
6,,,4,,,1146,2592,,,1,67,3,109,,,,,
12,23,,4,,,1147,663,,,0,57,2,1,,,,,
12,23,,4,,,1148,1395,,,0,63,1,1,,,,,
13,7,29,4,,,1064,878,,,1,69,1,46,,,,,
12,26,33,4,,,1142,1836,,,0,63,3,1,,,,,
12,26,23,4,,,1149,2430,,,0,60,1,1,,,,,
12,26,23,4,,,405,2490,3541,,0,60,2,1,,,,,
12,23,,4,,,206,3033,,,0,61,2,1,,,,,
12,23,,10,,,1150,2861,,,0,63,2,1,,,,,
6,10,,26,52,,1151,2793,,,1,69,2,89,,,,,
7,10,,23,,,1152,1783,,,1,68,1,92,,,,,
2,10,18,6,,,422,2291,,,1,67,3,162,,,,,
4,2,28,4,,,644,2907,,,1,63,3,100,,,,,
4,10,,6,,,1153,530,,,1,71,3,119,,,,,
2,,,4,,,1154,2739,,,1,70,1,99,,,,,
27,,,4,,,12,1207,,,0,71,1,2,,,,,
5,15,,4,,,12,2661,,,0,70,2,2,,,,,
5,1,34,14,,,1155,1809,,,0,71,2,1,,,,,
5,15,,4,,,1156,1352,,,0,67,3,1,,,,,
2,28,10,49,24,,1157,3153,,,1,70,1,100,,,,,
2,28,,4,,,1158,771,3333,,1,70,1,94,,,,,
13,7,,31,4,21,1159,274,,,1,70,1,92,,,,,
7,2,28,4,,,1160,1392,3313,,1,70,1,97,,,,,
5,1,34,4,49,,1161,707,,,0,67,3,1,,,,,
2,28,10,29,11,4,1162,697,,,1,66,3,93,,,,,
4,2,10,6,,,1163,1723,,,1,55,1,162,,,,,
7,,,4,,,1164,350,,,1,55,1,85,,,,,
7,2,28,4,,,1165,1074,,,1,70,2,110,,,,,
16,5,1,37,,,1166,196,558,,0,68,3,1,,,,,
2,10,,10,,,1167,1366,,,1,69,2,141,,,,,
6,10,,14,,,12,2173,,,1,70,2,88,,,,,
22,,,4,,,1168,919,,,0,71,3,2,,,,,
13,11,,4,,,1169,1762,,,1,66,1,91,,,,,
2,35,,4,,,1170,304,3482,2,1,71,1,107,,,,,
9,15,,21,,,1171,2017,,,0,67,3,1,,,,,
9,15,,10,,,1172,1300,3383,,0,70,1,1,,,,,
23,22,,4,,,1173,964,,,0,70,2,4,,,,,
23,22,,4,,,1174,676,,,0,71,2,3,,,,,
1,30,23,32,,,858,3178,,,0,61,2,1,,,,,
2,35,,4,,,1175,2228,,,1,62,1,140,,,,,
10,18,,6,,,1176,2228,,,1,70,2,127,,,,,
6,29,,4,,,1177,2474,,,1,71,2,82,,,,,
6,,,21,,,1178,1581,,,1,68,2,52,,,,,
6,17,,21,,,677,433,,,1,67,3,98,,,,,
20,,,4,,,991,284,,,1,35,3,69,,,,,
5,12,,10,,,1179,444,,,0,70,1,2,,,,,
28,18,,4,,,1180,444,,,1,70,1,92,,,,,
9,15,,21,,,12,2498,,,0,60,3,1,,,,,
1,34,22,24,,,1181,2082,,,0,70,1,1,,,,,
20,,,1,,,1182,3025,,,1,69,1,80,,,,,
20,,,16,,,1183,2920,,,1,71,2,65,,,,,
7,10,,6,,,1184,1238,,,1,70,3,133,,,,,
2,10,35,6,,,1185,505,,,1,70,3,153,,,,,
3,10,,34,3,,1186,181,,,1,71,1,100,,,,,
2,10,,6,,,1187,370,,,1,67,3,124,,,,,
15,1,,19,,,1188,1955,,,0,61,3,1,,,,,
2,28,10,6,,,1189,953,,,1,61,3,120,,,,,
2,10,18,6,,,183,2738,,,1,56,3,134,,,,,
2,10,29,6,,,1190,2054,,,1,35,2,151,,,,,
10,29,18,6,,,1191,3235,,,1,57,1,141,,,,,
7,2,10,6,,,559,1383,3515,,1,71,1,120,,,,,
7,10,35,6,,,811,1383,3515,34,1,64,1,106,,,,,
2,10,,5,,,1192,1997,,,1,68,2,109,,,,,
4,,,4,12,52,1193,135,,,1,64,2,105,,,,,
1,30,34,14,,,1194,1279,,,0,65,3,3,,,,,
7,2,,4,,,1195,1043,,,1,69,1,89,,,,,
2,18,,4,,,928,2790,3522,,1,71,3,123,,,,,
5,1,34,43,,,1196,170,,,0,60,2,1,,,,,
5,1,34,43,,,1197,2696,,,0,62,2,1,,,,,
5,34,26,4,,,1198,3248,,,0,70,3,3,,,,,
32,12,34,2,,,1199,509,,,0,31,3,1,,,,,
6,10,,57,,,1200,762,,,1,69,2,119,,,,,
30,34,22,4,,,1201,3058,,,0,62,3,1,,,,,
7,10,,14,,,1202,2621,,,1,70,1,85,,,,,
2,10,,2,,,1203,1639,,,1,70,2,82,,,,,
5,1,34,14,,,1204,1780,,,0,71,3,2,,,,,
20,,,2,,,1205,1369,,,1,69,2,52,,,,,
6,10,,14,,,12,1394,3305,,1,69,2,106,,,,,
5,1,34,24,,,1206,1396,,,0,71,3,3,,,,,
6,10,,24,39,63,1207,536,,,1,70,2,73,,,,,
2,10,29,10,,,1208,535,,,1,70,1,122,,,,,
1,34,22,49,,,1209,1261,,,0,65,3,2,,,,,
5,34,26,4,2,43,1210,211,,,0,70,3,6,,,,,
6,10,,43,,,1211,2671,3353,,1,71,2,74,,,,,
6,10,,58,,,1212,2848,,,1,70,1,73,,,,,
1,34,23,4,,,1213,2848,,,0,69,2,2,,,,,
13,6,10,10,,,12,2452,,,1,68,1,79,,,,,
4,31,10,6,,,1214,850,,,1,23,1,143,,,,,
6,10,,1,4,,12,1643,,,1,64,2,81,,,,,
10,11,,33,,,1215,1501,,,1,58,1,196,,,,,
3,,,4,,,1216,1978,,,1,71,3,98,,,,,
2,10,,14,,,1217,1978,,,1,71,2,119,,,,,
5,1,34,14,,,1218,2660,,,0,71,3,2,,,,,
6,,,21,,,12,2086,,,1,68,3,90,,,,,
19,23,,4,,,1219,668,,,0,70,2,1,,,,,
6,10,,19,,,1220,1007,,,1,66,3,93,,,,,
6,10,,10,,,12,2258,,,1,67,1,92,,,,,
6,10,,10,,,12,421,3355,,1,68,1,49,,,,,
13,,,12,,,1221,1957,,,1,70,1,90,,,,,
6,,,21,,,1222,2205,,,1,67,1,102,,,,,
3,18,,4,,,1223,1729,,,1,68,1,82,,,,,
7,2,10,6,,,345,1566,,,1,60,1,128,,,,,
2,10,,25,,,1224,1082,,,1,68,3,74,,,,,
2,10,29,30,,,1225,880,,,1,68,2,94,,,,,
27,,,4,,,1226,963,,,0,69,1,1,,,,,
15,,,56,4,,1227,98,,,0,70,1,1,,,,,
6,10,,12,19,16,12,2268,,,1,66,2,87,,,,,
7,35,,4,,,1228,2624,,,1,58,1,108,,,,,
1,34,23,10,,,1229,639,,,0,70,1,1,,,,,
2,28,10,6,,,65,1601,,,1,54,2,151,,,,,
9,5,15,21,,,1230,1833,,,0,68,2,1,,,,,
6,,,4,,,12,847,,,1,70,1,40,,,,,
4,,,4,,,1231,1900,,,1,64,3,109,,,,,
5,34,22,10,,,1232,2014,,,0,70,1,1,,,,,
28,18,,12,14,19,1231,2426,,,1,65,2,91,,,,,
1,23,,6,,,1233,1236,,,0,70,3,1,,,,,
7,2,10,6,,,386,1638,,,1,48,2,163,,,,,
20,,,26,,,1234,173,,,1,70,1,66,,,,,
6,,,4,,,1235,96,,,1,68,1,93,,,,,
1,22,,22,,,1236,518,,,0,66,2,1,,,,,
2,28,35,12,,,1237,485,,,1,70,1,85,,,,,
6,10,,4,37,,1238,1733,,,1,71,1,59,,,,,
4,24,,23,4,,1239,2653,,,1,25,3,103,,,,,
4,10,11,19,31,12,1240,3073,,,1,68,1,105,,,,,
32,23,,4,21,,1241,2706,,,0,69,3,5,,,,,
2,35,11,4,25,,193,464,,,1,67,2,102,,,,,
12,23,,4,12,,536,2896,,,0,69,1,1,,,,,
4,2,11,4,,,299,2896,,,1,54,3,107,,,,,
1,22,,37,,,1242,1305,,,0,69,3,1,,,,,
7,29,,4,,,374,484,,,1,64,1,81,,,,,
3,10,11,14,19,,1243,1567,,,1,70,2,99,,,,,
13,,,4,,,1244,1671,,,1,69,1,69,,,,,
7,2,28,7,,,1245,1719,,,1,42,2,88,,,,,
7,31,10,24,,,1246,2897,,,1,37,3,95,,,,,
2,10,35,2,,,1247,1592,,,1,68,1,100,,,,,
6,,,4,,,12,1589,3560,,1,66,2,90,,,,,
1,30,22,31,,,1248,3166,,,0,69,3,1,,,,,
10,29,18,6,,,1249,2890,,,1,70,1,91,,,,,
1,30,22,15,,,1250,1853,,,0,70,3,1,,,,,
2,10,,16,,,1251,296,,,1,70,3,110,,,,,
1,,,10,,,1252,1415,,,0,71,1,1,,,,,
13,7,,4,,,1104,2309,,,1,59,1,96,,,,,
4,21,10,37,,,1253,992,,,1,50,3,69,,,,,
6,10,,10,,,12,2979,,,1,71,2,96,,,,,
2,10,,14,2,19,48,1421,,,1,62,3,103,,,,,
2,28,10,6,,,1254,1253,,,1,70,3,102,,,,,
3,11,,21,4,,1255,1386,,,1,49,2,96,,,,,
12,,,12,,,1256,3145,,,0,68,3,5,,,,,
2,10,18,14,19,16,1257,2931,,,1,71,2,133,,,,,
10,35,,34,,,1258,633,,,1,67,2,124,,,,,
9,15,1,21,,,1259,369,,,0,66,3,1,,,,,
7,2,10,34,,,1260,914,,,1,68,2,127,,,,,
23,22,,4,,,1261,2928,,,0,70,3,1,,,,,
6,10,,14,,,12,1494,,,1,69,1,91,,,,,
5,15,,4,,,12,886,,,0,70,3,1,,,,,
7,11,,4,,,356,470,,,1,53,1,102,,,,,
7,10,35,6,,,1262,2705,,,1,71,3,134,,,,,
2,28,10,21,,,194,2908,,,1,67,3,108,,,,,
5,15,1,14,,,12,2908,,,0,71,3,1,,,,,
1,30,23,31,,,1263,2908,,,0,63,2,1,,,,,
1,22,,10,,,1264,2908,,,0,60,1,1,,,,,
4,,,4,,,1265,1466,,,1,48,2,133,,,,,
5,15,,4,,,12,1243,,,0,71,1,1,,,,,
6,10,,11,,,12,1802,,,1,65,1,58,,,,,
7,35,,4,,,1266,2429,,,1,64,2,79,,,,,
4,,,4,,,1267,2837,,,1,53,1,101,,,,,
6,,,10,,,1268,258,3261,,1,69,2,78,,,,,
6,10,,26,,,1269,2919,,,1,69,1,96,,,,,
4,21,11,37,,,1270,1189,,,1,66,2,103,,,,,
15,,,4,,,12,2766,,,0,71,3,2,,,,,
4,2,28,4,,,1271,1573,,,1,71,1,81,,,,,
4,2,11,4,,,1272,2041,,,1,70,1,95,,,,,
9,23,,21,4,,220,1269,,,0,58,3,2,,,,,
1,27,,10,,,1273,929,,,0,71,1,1,,,,,
2,28,,4,,,1274,2040,,,1,71,2,110,,,,,
6,,,4,,,12,3117,,,1,68,1,25,,,,,
2,18,,4,,,1275,631,,,1,48,1,101,,,,,
2,10,18,14,,,48,2310,,,1,71,1,108,,,,,
7,10,,5,,,1276,3174,,,1,62,1,99,,,,,
7,10,35,5,,,1276,3078,,,1,63,2,106,,,,,
7,10,,5,,,1276,3078,,,1,66,1,103,,,,,
5,1,22,5,,,1277,3078,,,0,61,3,1,,,,,
23,,,4,19,12,587,3078,,,0,70,3,3,,,,,
7,35,,4,,,1278,651,,,1,69,1,92,,,,,
13,11,,4,,,1279,2281,,,1,70,1,90,,,,,
20,,,49,,,485,575,,,1,69,1,60,,,,,
2,28,,4,,,1280,1468,,,1,69,2,89,,,,,
20,,,19,,,1281,1497,,,1,71,1,54,,,,,
16,1,,37,,,1282,3195,,,0,62,3,1,,,,,
9,5,15,21,,,1283,3195,,,0,67,3,1,,,,,
20,,,3,,,1284,3195,,,1,70,1,61,,,,,
4,2,10,6,,,177,2146,,,1,63,2,150,,,,,
7,,,4,,,1285,1616,,,1,71,1,80,,,,,
1,30,23,32,,,1286,1245,,,0,66,3,1,,,,,
18,,,4,,,828,2767,,,1,50,2,124,,,,,
5,1,23,45,,,1287,1757,,,0,69,2,1,,,,,
7,35,,4,,,1288,3031,,,1,71,1,98,,,,,
5,34,22,2,4,,1289,2873,,,0,70,3,1,,,,,
10,29,,10,,,1290,3105,,,1,70,1,82,,,,,
2,28,10,26,,,1291,1247,,,1,69,2,99,,,,,
3,,,4,,,1292,1867,,,1,70,1,92,,,,,
1,23,22,19,,,1293,3085,,,0,71,2,1,,,,,
23,,,4,,,115,447,,,0,71,2,1,,,,,
6,10,,6,,,12,554,,,1,67,3,29,,,,,
18,,,4,,,1294,274,,,1,71,1,91,,,,,
2,28,10,6,,,1295,1223,,,1,66,3,102,,,,,
12,23,,12,,,1296,1902,,,0,68,1,1,,,,,
4,2,10,30,,,1297,1122,,,1,67,2,146,,,,,
7,10,,15,,,1298,75,,,1,69,1,94,,,,,
5,1,22,51,,,1299,3245,,,0,67,2,1,,,,,
20,,,19,,,1300,992,,,1,70,1,75,,,,,
2,10,,6,,,93,3099,,,1,60,2,158,,,,,
12,,,4,,,1301,70,,,0,71,1,1,,,,,
27,,,4,,,12,2808,,,0,71,2,2,,,,,
5,1,26,10,,,1302,1207,,,0,68,1,1,,,,,
16,1,,37,,,847,1969,3537,,0,69,2,2,,,,,
16,1,,37,,,1303,1140,3542,,0,70,1,2,,,,,
16,1,,37,,,1304,2913,,,0,67,3,2,,,,,
16,1,,37,,,1305,492,,,0,64,3,2,,,,,
9,5,22,21,,,1306,2535,,,0,69,3,6,,,,,
7,,,4,,,1307,2429,,,1,70,1,95,,,,,
7,2,10,6,,,1308,869,,,1,64,2,97,,,,,
1,26,22,38,,,1309,855,,,0,70,3,2,,,,,
7,31,2,4,,,637,762,,,1,50,3,118,,,,,
1,25,,6,,,12,1419,,,0,67,1,1,,,,,
15,,,4,,,1310,2786,,,0,68,3,1,,,,,
6,,,4,,,1311,318,,,1,69,2,70,,,,,
20,,,4,,,1312,1836,,,1,64,2,58,,,,,
20,,,1,,,1313,1389,,,1,69,1,91,,,,,
6,,,4,,,12,1065,,,1,70,2,86,,,,,
7,10,,43,,,1314,2205,,,1,70,1,91,,,,,
20,,,24,,,1315,692,,,1,70,2,63,,,,,
7,10,17,6,,,1316,2854,,,1,64,2,133,,,,,
24,7,31,4,,,1317,372,,,1,38,3,103,,,,,
2,10,,9,,,1318,2436,1275,,1,67,3,101,,,,,
13,7,,21,,,1319,59,,,1,60,2,29,,,,,
15,,,10,,,565,841,,,0,70,3,1,,,,,
6,,,4,,,1320,2608,,,1,68,2,92,,,,,
5,1,26,5,,,1321,1696,,,0,67,2,2,,,,,
6,,,4,,,1322,1659,,,1,69,3,94,,,,,
2,10,,25,,,747,1279,,,1,67,1,118,,,,,
31,3,18,4,,,1323,2768,,,1,52,2,98,,,,,
3,18,,4,12,,1324,2561,,,1,55,2,90,,,,,
3,,,4,26,,261,1871,,,1,58,1,93,,,,,
1,22,,37,,,1325,3088,,,0,69,2,1,,,,,
10,35,,34,,,149,2061,3464,,1,69,1,125,,,,,
6,10,,16,19,,1326,1871,,,1,68,2,114,,,,,
15,,,4,,,12,2061,,,0,69,2,1,,,,,
6,,,4,,,12,2061,,,1,71,3,40,,,,,
6,10,,6,,,1327,2061,,,1,64,3,83,,,,,
2,10,,6,,,1328,1307,,,1,71,1,117,,,,,
2,28,10,6,,,1329,638,,,1,65,2,99,,,,,
8,,,10,,,12,1719,,,1,67,1,60,,,,,
8,,,10,,,12,1719,,,1,67,1,60,,,,,
21,35,,37,,,399,1063,,,1,69,3,91,,,,,
15,,,10,,,12,1824,,,0,70,2,1,,,,,
7,35,,4,,,1330,3157,,,1,70,1,96,,,,,
4,,,21,12,4,293,2024,,,1,69,1,102,,,,,
2,10,35,33,,,1331,622,,,1,70,1,90,,,,,
2,28,17,4,,,1332,1954,,,1,70,2,103,,,,,
15,1,,4,,,12,651,,,0,70,3,2,,,,,
2,,,59,4,,1333,195,,,1,69,2,137,,,,,
3,10,,21,,,1334,1054,,,1,68,2,90,,,,,
6,17,,10,,,12,531,,,1,69,3,49,,,,,
6,,,4,,,1335,2233,,,1,67,2,61,,,,,
13,,,1,,,1336,869,,,1,70,1,78,,,,,
1,27,,10,,,1337,2924,,,0,67,1,2,,,,,
2,10,35,6,,,1338,617,,,1,68,1,124,,,,,
15,,,4,,,1339,2035,,,0,69,3,1,,,,,
4,10,,23,,,1340,1323,,,1,34,3,104,,,,,
2,28,,4,,,1341,3088,,,1,67,1,83,,,,,
27,,,4,,,1342,1307,,,0,66,2,3,,,,,
2,10,29,6,,,1343,1305,,,1,52,2,163,,,,,
23,22,,4,,,657,2788,,,0,69,3,2,,,,,
2,,,12,4,,1344,2641,,,1,60,2,119,,,,,
15,1,,31,,,1345,2748,,,0,71,3,2,,,,,
21,10,35,31,37,,1346,2788,,,1,70,1,74,,,,,
7,10,,15,,,560,1400,,,1,68,1,102,,,,,
27,,,21,,,1347,2681,,,0,71,1,1,,,,,
15,,,4,,,12,492,,,0,70,3,1,,,,,
2,28,29,4,,,1348,1422,,,1,70,2,83,,,,,
12,,,22,,,1349,2167,,,0,68,1,1,,,,,
9,23,22,21,,,1171,2882,,,0,70,3,2,,,,,
4,10,,23,,,1350,750,,,1,30,2,88,,,,,
6,10,,35,4,21,1351,2442,,,1,69,1,86,,,,,
15,,,4,,,1352,2788,,,0,70,1,3,,,,,
6,10,,24,16,,12,2788,,,1,69,2,66,,,,,
15,,,10,,,1178,1744,,,0,69,3,1,,,,,
1,22,,4,,,1353,1093,,,0,63,1,1,,,,,
6,,10,14,,,12,2741,,,1,67,2,90,,,,,
6,,,4,,,12,1514,,,1,67,3,92,,,,,
2,10,,2,,,1354,345,,,1,64,2,145,,,,,
7,2,28,4,6,,1355,1434,,,1,67,3,105,,,,,
7,,,21,,,1356,705,,,1,71,2,95,,,,,
6,,,4,,,1357,300,,,1,70,3,93,,,,,
13,,,4,,,1358,300,,,1,29,2,84,,,,,
6,,,12,4,,1359,340,,,1,68,3,112,,,,,
27,,,10,,,1360,2036,,,0,69,1,1,,,,,
7,10,,14,,,1361,264,,,1,69,1,93,,,,,
6,10,,21,,,1362,118,,,1,69,2,81,,,,,
4,24,11,4,,,1363,2510,,,1,10,3,98,,,,,
4,10,,6,,,182,176,,,1,68,2,123,,,,,
9,15,,21,,,12,2641,,,0,68,1,1,,,,,
5,15,,4,,,1364,2510,,,0,63,3,9,,,,,
16,1,,37,,,1365,2808,,,0,71,2,2,,,,,
6,10,17,39,,,12,107,,,1,70,3,74,,,,,
6,10,17,21,38,51,12,1716,,,1,68,3,87,,,,,
1,22,,21,,,12,442,,,0,63,1,1,,,,,
2,10,,16,68,102,1366,3039,,,1,70,1,105,,,,,
2,10,18,22,,,1367,214,,,1,69,3,109,,,,,
6,,,4,,,12,2551,3511,,1,63,3,96,,,,,
15,,,21,,,12,1409,,,0,71,3,1,,,,,
5,1,34,14,85,,1368,2646,,,0,68,3,1,,,,,
7,2,10,34,,,1186,2916,,,1,65,3,125,,,,,
24,7,10,21,,,1369,644,,,1,46,2,118,,,,,
2,18,,4,26,,620,1538,,,1,59,3,113,,,,,
18,,,4,,,891,1895,,,1,71,2,100,,,,,
6,10,,4,16,,12,355,,,1,68,3,79,,,,,
7,2,28,4,1,,1370,745,,,1,64,3,86,,,,,
20,,,16,,,1371,745,,,1,71,2,61,,,,,
20,,,2,,,1372,1463,,,1,71,2,54,,,,,
20,,,2,,,1372,2944,,,1,70,2,66,,,,,
6,,,4,,,12,2222,,,1,59,2,70,,,,,
7,2,28,4,,,1373,2381,,,1,67,2,102,,,,,
7,,,4,,,1374,1718,1774,,1,71,1,32,,,,,
32,23,,4,,,698,2241,,,0,55,3,11,,,,,
7,,,4,,,1375,2604,,,1,69,1,85,,,,,
29,20,,10,,,1118,268,3335,,1,70,1,65,,,,,
4,7,28,21,,,816,123,,,1,68,2,91,,,,,
9,12,22,4,,,1376,1472,,,0,71,3,3,,,,,
8,,,10,,,1376,1484,,,1,70,3,58,,,,,
8,,,4,,,1376,1495,,,1,71,2,51,,,,,
13,2,,4,19,2,1377,400,,,1,45,1,112,,,,,
2,10,18,10,,,322,1609,,,1,70,3,135,,,,,
6,,,4,86,,1378,2700,,,1,67,2,103,,,,,
7,10,,15,,,1379,1688,,,1,68,1,116,,,,,
2,28,,4,,,1380,2448,,,1,67,1,72,,,,,
5,22,,4,,,730,3035,,,0,68,3,1,,,,,
15,27,,4,,,12,1382,,,0,69,2,4,,,,,
3,,,4,,,1381,2278,,,1,61,2,97,,,,,
3,10,,26,,,1382,1699,,,1,68,1,92,,,,,
32,23,,4,,,1383,2693,,,0,55,3,10,,,,,
30,23,,4,,,1128,526,,,0,71,2,2,,,,,
32,26,25,4,,,1384,2924,,,0,68,2,3,,,,,
13,7,2,15,,,363,2600,3354,32,1,69,1,93,,,,,
6,,,4,,,12,79,,,1,65,3,35,,,,,
4,10,,19,,,660,2405,,,1,62,2,93,,,,,
6,10,17,4,,,1385,2932,,,1,68,2,99,,,,,
1,26,22,12,,,1386,2633,,,0,70,3,3,,,,,
9,15,1,21,4,14,218,821,,,0,63,3,1,,,,,
8,,,21,4,14,218,1860,,,1,63,1,47,,,,,
8,,,21,4,14,218,3150,,,1,63,1,52,,,,,
2,28,,4,,,1387,335,,,1,60,2,97,,,,,
5,1,34,14,,,1388,524,,,0,70,1,1,,,,,
4,7,2,10,,,603,3165,,,1,65,2,135,,,,,
13,2,17,12,4,,1389,3131,,,1,67,2,88,,,,,
23,,,4,,,1390,2727,,,0,70,3,4,,,,,
16,1,,37,,,1391,1264,,,0,55,3,1,,,,,
4,2,10,37,,,1392,2985,,,1,69,3,134,,,,,
16,1,,37,,,1391,2659,,,0,62,3,5,,,,,
7,10,,4,,,1393,1777,,,1,69,1,82,,,,,
6,,,4,,,12,655,,,1,68,1,106,,,,,
4,2,10,53,,,1394,1792,,,1,71,3,97,,,,,
2,18,,4,21,,1395,503,,,1,69,1,88,,,,,
6,,,4,,,12,1895,,,1,71,2,98,,,,,
4,7,10,5,,,251,207,,,1,56,3,123,,,,,
7,10,29,5,,,1396,1020,,,1,68,1,104,,,,,
4,2,10,6,,,205,2203,,,1,67,3,128,,,,,
