Janner1,Janner2,Janner3,Country1,Country2,Country3,Main_Acter,Director1,Director2,Director3,type,release_year,rating,duration[Seasons/Min],,,,,
13,7,,12,,,75,288,,,1,69,1,84,,,,,
7,2,28,14,,,76,2892,,,1,71,1,105,,,,Correlations (country3),
7,,,4,,,77,647,,,1,67,2,86,,,,-0.062304604,janner 1 
4,7,10,10,,,78,935,,,1,69,2,106,,,,-0.058309757,janner 2
7,2,28,4,,,79,258,,,1,66,2,92,,,,-0.1662837,janner 3
7,10,,16,,,80,2285,,,1,70,1,96,,,,-0.006311269,country 1
7,2,35,4,,,81,1423,,,1,66,3,97,,,,0.118817996,country 2
7,2,28,4,,,82,178,,,1,63,3,100,,,,1,country 3
2,10,,25,,,83,1463,,,1,64,3,126,,,,0.034955366,Main_Acter
2,28,,4,,,84,1463,,,1,70,1,75,,,,0.016338091,Director1
4,2,10,28,21,,85,3008,,,1,69,2,94,,,,0.377271301,Director2
4,2,,4,,,86,1939,,,1,71,2,129,,,,-1,Director3
2,28,35,4,,,87,2070,,,1,67,1,80,,,,0.042908673,type
3,10,18,6,,,88,2881,,,1,66,2,103,,,,0.047614955,release_year
7,28,18,4,,,89,2735,,,1,69,1,96,,,,0.075815414,rating
14,,,6,,,90,3093,,,0,71,1,1,,,,0.066040338,duration[Seasons/Min]
2,10,,14,,,91,3050,,,1,68,2,77,,,,,
15,,,4,,,12,1944,,,0,70,2,1,,,,Correlations (Main_Acter),
7,10,29,29,,,92,2562,,,1,70,2,137,,,,0.000462744,janner 1 
2,10,18,6,,,93,2501,,,1,63,2,148,,,,0.062102082,janner 2
15,1,,30,,,12,443,,,0,68,1,1,,,,0.051320527,janner 3
15,1,,30,,,94,784,,,0,70,2,1,,,,0.050825725,country 1
15,1,,30,4,,94,761,,,0,69,2,1,,,,0.035991296,country 2
15,1,,30,,,95,2616,,,0,68,2,1,,,,0.034955366,country 3
16,1,,10,,,96,2529,,,0,71,2,1,,,,1,Main_Acter
17,,,21,,,97,917,,,1,69,1,87,,,,0.01410923,Director1
9,15,,4,,,98,2992,,,0,68,2,1,,,,0.030490123,Director2
7,10,29,6,,,99,3013,,,1,71,1,123,,,,-0.038379592,Director3
2,10,18,9,,,100,1384,,,1,68,1,121,,,,-0.065562566,type
13,2,17,30,,,101,1162,,,1,63,1,95,,,,-0.008526808,release_year
6,10,,2,4,,12,272,,,1,71,2,28,,,,-0.00234592,rating
2,10,35,31,23,,102,3223,,,1,63,2,122,,,,-0.059185661,duration[Seasons/Min]
2,28,10,6,,,103,599,,,1,68,3,104,,,,,
2,11,,4,,,104,142,,,1,68,3,94,,,,,
1,23,22,32,,,105,1958,,,0,69,3,1,,,,Correlations (Director1),
13,2,35,4,,,106,3012,,,1,69,1,92,,,,-0.002093467,janner 1 
13,2,35,10,,,106,119,,,1,71,1,85,,,,-0.005344247,janner 2
13,2,35,4,,,106,1231,,,1,70,1,93,,,,0.014349726,janner 3
8,,,19,22,37,107,636,3300,,1,68,1,22,,,,-0.029826446,country 1
13,7,,4,12,,108,1437,,,1,56,2,95,,,,0.011941497,country 2
13,7,29,4,,,109,1504,,,1,71,1,86,,,,0.016338091,country 3
2,35,,4,,,110,2047,,,1,45,1,101,,,,0.01410923,Main_Acter
13,7,,4,,,111,2200,,,1,66,1,68,,,,1,Director1
2,18,,10,,,112,1619,,,1,72,1,121,,,,-0.014846145,Director2
6,10,,33,27,18,113,1910,,,1,67,2,111,,,,-0.249118456,Director3
2,,,12,4,,114,1159,,,1,68,2,110,,,,-0.000694147,type
8,,,4,,,115,1220,,,1,71,1,29,,,,-0.004218502,release_year
4,10,11,6,,,116,554,,,1,68,1,142,,,,0.001238892,rating
2,10,,27,,,117,338,,,1,70,3,168,,,,0.004109538,duration[Seasons/Min]
7,,,4,,,118,928,1412,,1,70,2,102,,,,,
2,28,,4,,,119,2156,,,1,69,2,92,,,,Correlations (Director2),
7,28,,4,,,120,3051,,,1,64,1,86,,,,0.034772719,janner 1 
1,30,22,32,,,121,827,,,0,65,2,1,,,,0.008313892,janner 2
6,,,21,,,122,1899,,,1,67,3,59,,,,-0.124964047,janner 3
6,,,4,,,12,1720,,,1,69,1,93,,,,0.003909556,country 1
3,28,,4,,,123,934,3384,,1,71,1,80,,,,-0.059087786,country 2
2,28,10,26,,,124,2161,,,1,67,2,109,,,,0.377271301,country 3
13,7,35,4,,,125,3086,,,1,63,1,92,,,,0.030490123,Main_Acter
7,10,,23,,,126,2578,,,1,71,1,92,,,,-0.014846145,Director1
1,22,25,10,,,127,53,,,0,69,2,1,,,,1,Director2
18,,,4,,,128,2842,,,1,68,1,96,,,,-0.103350893,Director3
1,,30,22,,,129,2172,,,0,69,3,1,,,,0.061875174,type
2,10,,19,33,3,130,1091,,,1,71,2,95,,,,0.036657342,release_year
6,,,4,,,12,1565,,,1,70,3,87,,,,-0.0218702,rating
2,28,10,21,,,131,363,,,1,66,2,113,,,,0.051849953,duration[Seasons/Min]
19,23,,4,,,132,1571,,,0,70,2,1,,,,,
1,30,,31,,,133,1614,,,0,71,3,1,,,,,
