@relation netflix_Alg

@attribute Janner1 numeric
@attribute Janner2 numeric
@attribute Janner3 numeric
@attribute Country1 numeric
@attribute Country2 numeric
@attribute Main_Acter numeric
@attribute Director1 numeric
@attribute Director2 numeric
@attribute release_year numeric
@attribute rating numeric
@attribute duration[Seasons/Min] numeric

@data
2,28,?,4,?,119,2156,?,69,2,92
7,28,?,4,?,120,3051,?,64,1,86
1,30,22,32,?,121,827,?,65,2,1
6,?,?,21,?,122,1899,?,67,3,59
6,?,?,4,?,12,1720,?,69,1,93
3,28,?,4,?,123,934,3384,71,1,80
2,28,10,26,?,124,2161,?,67,2,109
13,7,35,4,?,125,3086,?,63,1,92
7,10,?,23,?,126,2578,?,71,1,92
1,22,25,10,?,127,53,?,69,2,1
18,?,?,4,?,128,2842,?,68,1,96
1,?,30,22,?,129,2172,?,69,3,1
2,10,?,19,33,130,1091,?,71,2,95
6,?,?,4,?,12,1565,?,70,3,87
2,28,10,21,?,131,363,?,66,2,113
19,23,?,4,?,132,1571,?,70,2,1
1,30,?,31,?,133,1614,?,71,3,1
1,30,22,10,?,134,2637,?,69,3,1
2,10,35,34,?,135,2243,?,59,3,117
5,1,?,22,?,136,2012,?,62,2,1
7,10,17,19,?,137,2072,?,68,1,97
7,10,?,10,?,138,1209,?,64,1,98
2,18,?,35,4,139,567,?,66,2,125
6,?,?,4,?,12,2468,?,66,2,91
6,10,?,1,?,12,3104,?,69,2,76
7,31,?,4,?,140,2455,?,50,2,82
2,10,?,33,?,141,2411,?,67,2,111
2,18,?,21,?,142,2146,?,67,2,92
2,28,?,4,?,143,3099,?,64,2,110
2,28,35,4,?,144,3102,?,65,1,94
6,?,?,21,23,145,2487,?,68,3,100
7,10,?,14,?,146,353,?,71,1,94
20,?,?,12,?,147,2501,?,63,1,44
10,18,?,6,?,148,2501,?,68,1,108
2,10,35,34,?,149,2839,?,67,1,130
2,10,?,36,19,150,1144,?,63,3,123
12,26,23,4,?,151,56,?,71,3,3
7,28,?,4,21,152,1559,3527,61,2,106
21,10,?,37,?,153,562,?,68,3,130
2,28,?,4,?,154,620,2337,61,3,100
2,10,18,24,1,155,2522,?,69,2,96
2,28,?,4,?,109,719,?,67,2,89
2,?,?,4,?,156,191,?,40,1,95
8,?,?,4,?,157,586,?,69,2,26
1,22,?,10,?,158,2475,?,70,3,1
2,10,?,38,4,159,1545,?,67,1,98
6,10,?,10,?,12,1543,?,71,2,30
1,22,?,32,?,160,1847,?,71,3,1
7,10,?,9,?,32,3149,?,68,1,99
2,10,?,39,24,161,1214,?,70,3,122
7,29,?,4,?,162,1307,?,67,1,57
1,23,?,19,?,163,2889,?,70,3,2
4,2,10,6,?,164,2574,?,60,3,103
6,?,?,4,?,12,951,?,69,2,91
13,?,?,12,?,165,294,?,69,1,91
13,?,?,4,?,166,2692,?,70,1,110
15,1,?,4,?,167,1356,?,67,3,1
2,28,10,3,19,168,1711,?,68,1,111
9,23,22,21,?,169,1360,?,65,3,2
22,?,?,4,?,170,2145,?,67,3,1
16,1,?,37,?,171,520,?,70,2,1
3,?,?,12,?,172,504,?,71,1,77
4,13,28,4,?,173,2595,?,70,1,99
2,10,35,5,?,174,2196,?,63,3,122
7,10,?,6,?,175,2997,?,69,3,150
7,10,29,6,?,176,2357,?,61,1,117
7,2,10,6,?,177,2486,?,65,3,126
4,10,?,6,?,178,1906,?,40,1,148
2,28,10,6,?,179,2477,?,70,2,122
10,18,?,6,?,180,2810,?,60,3,95
2,10,?,6,?,181,201,?,63,2,164
2,10,?,6,?,182,452,?,62,3,115
2,10,29,6,?,183,69,1962,45,1,154
7,2,10,6,?,184,2172,?,62,1,133
3,10,18,10,?,185,2655,?,71,1,110
7,2,10,6,?,186,814,?,67,1,127
2,10,29,6,?,187,2287,?,67,1,146
2,10,?,6,?,187,2436,1275,65,2,136
4,2,10,15,?,188,2855,?,64,1,100
6,?,?,4,?,12,552,?,69,2,90
2,10,?,29,?,189,1055,187,68,2,88
7,10,11,6,?,190,672,?,68,2,131
1,?,19,22,?,191,1812,?,69,2,2
13,7,?,4,?,192,558,?,64,1,44
7,2,10,21,4,193,1307,?,54,2,101
7,2,10,21,?,194,1307,?,65,3,123
15,?,?,4,?,195,1726,3099,71,3,2
5,1,?,22,?,196,1952,?,71,3,1
2,10,?,24,?,197,1230,?,67,1,90
7,2,10,2,?,198,1361,?,68,1,89
10,18,?,23,?,199,2752,?,61,2,87
1,30,23,4,?,200,1342,?,70,3,1
2,?,?,4,?,201,2941,?,65,2,24
2,17,?,12,?,202,932,?,67,1,88
2,29,35,4,21,203,3115,?,59,3,133
4,10,?,5,4,204,581,?,62,2,112
13,7,10,6,?,205,1128,?,62,1,129
4,10,?,40,4,206,600,?,69,1,87
5,1,22,19,?,207,693,?,70,2,1
20,?,?,4,?,208,1500,?,71,1,59
23,?,?,4,?,209,1988,?,70,3,1
20,?,?,4,?,210,3226,?,70,3,74
2,?,?,4,?,211,2345,?,38,3,96
20,?,?,4,?,212,931,?,70,1,59
7,10,18,6,?,12,3142,?,70,1,105
20,?,?,6,?,213,3143,?,69,1,63
2,28,10,30,19,214,1747,?,65,2,111
3,28,10,6,?,215,2532,?,69,1,99
2,28,11,4,?,216,2532,?,67,2,92
7,?,?,12,4,217,1084,?,70,1,86
15,27,?,4,?,12,85,?,70,2,1
9,15,1,21,?,218,2148,?,65,3,1
2,35,?,4,?,219,2592,3302,71,1,106
9,1,23,21,?,220,923,?,71,3,1
6,?,?,4,?,12,361,?,71,1,38
6,?,?,4,?,12,1870,?,64,1,93
6,?,?,4,?,12,1662,?,70,1,87
6,10,?,4,2,12,2639,?,71,1,25
4,3,?,4,49,221,869,?,64,1,89
5,1,22,3,?,222,580,?,66,3,1
2,?,?,21,?,223,2673,?,70,2,92
9,27,30,21,?,224,481,?,69,1,1
1,30,22,10,?,225,383,?,62,2,2
5,1,22,32,?,226,2789,?,70,3,1
15,1,?,26,19,12,1945,?,69,2,1
1,22,?,41,18,227,2900,3417,71,3,1
5,1,26,6,?,228,3194,?,67,2,1
16,1,?,37,?,229,2722,?,71,3,2
8,?,?,37,?,229,3072,?,70,3,22
20,?,?,24,?,230,247,?,70,2,60
3,10,?,6,?,231,2191,?,61,1,97
2,10,35,6,?,232,1956,?,58,2,122
6,?,?,4,?,233,1641,?,64,3,91
1,27,30,37,?,234,1368,?,70,2,2
9,15,1,21,?,235,2275,?,66,2,1
2,28,10,6,?,236,1752,?,67,2,127
10,29,35,6,?,205,348,?,56,3,153
4,2,10,6,?,237,231,?,70,1,158
7,10,29,6,?,238,231,?,64,1,151
23,22,?,4,?,239,1587,?,72,3,1
1,22,?,10,?,12,839,?,67,1,1
16,1,?,37,?,240,2382,2832,68,2,2
2,10,?,6,?,241,1721,?,69,2,105
1,22,?,10,?,242,1721,?,67,1,1
5,1,22,42,?,243,3163,?,69,3,1
20,?,?,2,?,244,2349,?,69,1,54
7,10,?,10,?,12,1223,3367,69,1,94
2,28,10,6,?,245,1968,?,71,2,85
13,?,?,4,40,246,366,?,68,1,106
20,?,?,43,?,247,544,?,70,1,60
6,10,29,14,?,248,55,?,70,1,102
7,2,28,4,?,217,2471,?,70,2,100
12,23,?,4,?,249,2860,?,70,3,2
6,10,17,10,?,250,3023,?,71,1,69
4,7,10,5,?,251,1772,?,67,2,115
20,?,?,4,?,252,683,?,68,3,60
20,?,?,4,?,252,2370,?,70,3,64
5,1,22,12,?,253,2289,?,69,3,1
6,10,?,10,?,12,2334,?,69,1,54
4,10,11,44,6,254,1120,?,32,2,147
24,7,2,4,?,255,1727,3410,26,3,112
6,?,?,4,?,256,2139,?,69,1,63
4,11,?,4,?,257,1307,?,71,1,88
13,7,11,4,?,258,2843,?,70,3,90
7,28,10,30,?,259,2327,?,70,2,110
6,?,?,45,4,12,260,?,68,2,89
1,22,25,32,?,260,1536,?,69,1,1
7,2,28,4,?,261,2800,?,70,1,101
23,?,?,4,?,262,285,?,70,1,1
22,?,?,4,?,263,1895,?,71,3,1
10,18,?,10,?,264,90,?,71,1,83
12,23,?,4,?,265,2454,?,69,3,5
12,26,23,4,?,265,1632,?,69,3,1
13,28,?,4,?,30,2377,?,68,1,92
6,?,?,4,?,12,1866,?,71,2,40
3,18,?,4,?,266,775,3314,70,1,84
7,2,10,34,?,267,1234,3415,69,1,104
3,?,?,4,?,268,1073,?,58,1,91
4,?,?,21,?,269,1018,?,70,1,100
7,10,35,2,?,270,624,3351,72,1,90
7,2,10,1,?,271,1684,?,69,2,90
2,10,?,26,?,272,1325,?,71,2,90
7,10,35,23,?,199,628,?,61,1,99
2,?,?,21,19,273,2436,1275,68,2,103
18,?,?,4,26,274,1909,?,53,2,103
13,?,?,4,?,275,1660,?,65,1,45
13,?,?,4,6,276,904,?,66,1,45
6,?,?,4,?,12,2180,?,69,3,90
5,26,22,4,?,277,331,?,70,3,1
6,?,?,10,?,278,3070,?,70,1,106
1,34,22,43,?,279,1255,?,71,2,1
7,35,?,4,?,252,501,?,71,2,102
6,?,?,27,4,12,1298,?,68,2,92
2,10,35,14,?,280,2719,?,69,1,104
7,2,10,21,?,281,317,?,67,1,92
4,24,7,6,?,178,872,?,29,3,172
2,10,?,15,?,282,1435,?,63,2,125
2,28,17,4,?,283,1262,?,70,1,96
9,1,27,21,?,12,2688,?,70,2,1
6,?,?,21,?,284,2480,?,69,2,44
6,?,?,4,?,285,2710,?,68,1,81
2,?,?,4,?,286,169,?,51,3,122
6,?,?,4,?,12,1456,?,69,3,101
5,22,?,4,?,287,2514,?,69,3,3
5,22,?,4,?,288,2933,?,68,3,1
6,?,?,4,?,289,2092,?,69,3,53
15,?,?,4,?,12,1296,?,70,3,1
6,?,?,4,?,290,1972,?,70,2,53
6,?,?,4,?,12,2014,?,71,3,110
6,?,?,10,?,291,767,3376,71,1,10
18,?,?,12,?,292,944,3287,71,1,99
4,2,?,12,77,293,467,3406,66,1,95
2,?,?,4,?,294,3211,?,50,3,119
2,28,?,21,4,295,2093,?,68,2,163
25,?,?,4,?,296,1309,?,70,3,8
6,17,?,4,?,297,1309,?,70,3,55
22,?,?,4,?,298,1309,?,67,3,1
7,31,2,4,12,299,2609,?,52,3,102
2,?,?,4,?,300,1004,?,71,1,90
5,23,?,4,?,301,1378,?,70,3,2
2,?,?,4,?,302,303,3397,71,2,106
15,?,?,4,?,303,1766,?,66,2,1
1,22,?,34,?,304,1473,?,69,2,1
7,10,?,5,?,305,155,3346,69,3,127
2,10,29,6,?,306,2415,?,18,2,116
6,10,29,21,?,307,1017,?,67,3,128
20,?,?,4,?,308,903,?,71,1,61
20,?,?,4,?,308,299,?,69,1,57
6,10,?,6,?,12,373,?,65,2,80
13,?,?,4,?,309,3183,3337,38,2,80
13,?,?,4,?,310,2856,?,43,2,75
13,?,?,4,?,311,129,?,51,2,75
13,?,?,4,?,311,2775,?,52,1,79
2,10,?,15,?,312,2097,?,64,2,87
1,30,22,32,?,313,2650,?,64,2,1
2,?,?,4,?,314,2644,?,70,1,97
7,2,10,10,?,188,2644,?,66,1,85
7,10,?,1,?,315,2644,?,70,2,116
2,28,10,6,?,316,2644,?,69,2,111
7,2,?,14,?,317,2644,?,69,2,113
15,?,?,4,?,318,2644,?,62,3,1
2,28,10,17,45,319,2644,?,70,2,102
7,31,10,6,?,68,1034,?,46,3,160
7,2,10,6,?,320,?,?,70,3,137
2,28,?,4,?,321,152,?,67,2,90
4,7,2,6,?,322,3130,?,69,3,128
16,1,?,37,?,323,2803,?,62,3,1
1,26,23,32,?,324,1513,?,66,1,1
13,?,?,46,12,325,1798,?,70,2,30
7,?,?,4,?,210,2434,3418,55,2,105
12,23,?,47,?,326,3217,?,70,2,3
2,28,10,6,26,327,92,?,67,2,104
2,28,29,21,?,328,1073,?,71,3,15
4,10,11,31,?,329,734,?,70,2,130
3,10,?,14,52,330,2053,?,70,1,88
4,2,10,6,?,331,2022,?,66,1,146
1,25,?,6,?,12,2022,?,70,1,1
1,25,?,6,?,332,598,?,70,3,1
20,?,?,4,?,333,2166,?,67,1,64
2,10,18,6,?,334,1336,?,65,2,127
13,?,?,4,?,335,743,?,68,1,92
1,22,?,12,?,336,2664,?,70,3,2
16,1,?,37,?,153,1664,?,63,3,1
2,11,18,26,4,337,2930,3544,70,1,100
2,28,10,1,33,338,2924,?,68,1,72
26,22,?,4,?,53,2832,?,71,1,1
1,?,30,22,?,339,2385,?,68,3,1
5,1,23,10,?,340,2385,?,71,1,1
7,10,?,15,?,341,1112,?,69,1,110
13,?,?,10,?,342,524,?,70,1,65
15,?,?,4,?,343,398,?,70,3,5
20,?,?,4,?,344,3250,?,71,2,64
20,?,?,4,?,344,66,3257,67,3,59
7,2,10,6,?,345,206,?,58,1,122
4,3,?,4,?,346,2971,?,70,2,90
4,7,11,4,?,347,1586,?,70,2,118
6,10,17,10,?,12,1874,?,71,2,60
2,28,10,6,?,348,104,?,59,2,134
6,?,?,4,?,12,1507,?,69,2,89
5,1,34,24,?,349,2460,?,71,2,1
5,1,34,14,?,350,1846,?,68,2,1
6,?,?,4,?,351,1989,?,68,3,86
