@relation netflix_Alg

@attribute Janner1 numeric
@attribute Janner2 numeric
@attribute Janner3 numeric
@attribute Country1 numeric
@attribute Country2 numeric
@attribute Main_Acter numeric
@attribute Director1 numeric
@attribute Director2 numeric
@attribute release_year numeric
@attribute rating numeric
@attribute duration[Seasons/Min] numeric

@data
13,?,?,12,?,1221,1957,?,70,1,90
6,?,?,21,?,1222,2205,?,67,1,102
3,18,?,4,?,1223,1729,?,68,1,82
7,2,10,6,?,345,1566,?,60,1,128
2,10,?,25,?,1224,1082,?,68,3,74
2,10,29,30,?,1225,880,?,68,2,94
27,?,?,4,?,1226,963,?,69,1,1
15,?,?,56,4,1227,98,?,70,1,1
6,10,?,12,19,12,2268,?,66,2,87
7,35,?,4,?,1228,2624,?,58,1,108
1,34,23,10,?,1229,639,?,70,1,1
2,28,10,6,?,65,1601,?,54,2,151
9,5,15,21,?,1230,1833,?,68,2,1
6,?,?,4,?,12,847,?,70,1,40
4,?,?,4,?,1231,1900,?,64,3,109
5,34,22,10,?,1232,2014,?,70,1,1
28,18,?,12,14,1231,2426,?,65,2,91
1,23,?,6,?,1233,1236,?,70,3,1
7,2,10,6,?,386,1638,?,48,2,163
20,?,?,26,?,1234,173,?,70,1,66
6,?,?,4,?,1235,96,?,68,1,93
1,22,?,22,?,1236,518,?,66,2,1
2,28,35,12,?,1237,485,?,70,1,85
6,10,?,4,37,1238,1733,?,71,1,59
4,24,?,23,4,1239,2653,?,25,3,103
4,10,11,19,31,1240,3073,?,68,1,105
32,23,?,4,21,1241,2706,?,69,3,5
2,35,11,4,25,193,464,?,67,2,102
12,23,?,4,12,536,2896,?,69,1,1
4,2,11,4,?,299,2896,?,54,3,107
1,22,?,37,?,1242,1305,?,69,3,1
7,29,?,4,?,374,484,?,64,1,81
3,10,11,14,19,1243,1567,?,70,2,99
13,?,?,4,?,1244,1671,?,69,1,69
7,2,28,7,?,1245,1719,?,42,2,88
7,31,10,24,?,1246,2897,?,37,3,95
2,10,35,2,?,1247,1592,?,68,1,100
6,?,?,4,?,12,1589,3560,66,2,90
1,30,22,31,?,1248,3166,?,69,3,1
10,29,18,6,?,1249,2890,?,70,1,91
1,30,22,15,?,1250,1853,?,70,3,1
2,10,?,16,?,1251,296,?,70,3,110
1,?,?,10,?,1252,1415,?,71,1,1
13,7,?,4,?,1104,2309,?,59,1,96
4,21,10,37,?,1253,992,?,50,3,69
6,10,?,10,?,12,2979,?,71,2,96
2,10,?,14,2,48,1421,?,62,3,103
2,28,10,6,?,1254,1253,?,70,3,102
3,11,?,21,4,1255,1386,?,49,2,96
12,?,?,12,?,1256,3145,?,68,3,5
2,10,18,14,19,1257,2931,?,71,2,133
10,35,?,34,?,1258,633,?,67,2,124
9,15,1,21,?,1259,369,?,66,3,1
7,2,10,34,?,1260,914,?,68,2,127
23,22,?,4,?,1261,2928,?,70,3,1
6,10,?,14,?,12,1494,?,69,1,91
5,15,?,4,?,12,886,?,70,3,1
7,11,?,4,?,356,470,?,53,1,102
7,10,35,6,?,1262,2705,?,71,3,134
2,28,10,21,?,194,2908,?,67,3,108
5,15,1,14,?,12,2908,?,71,3,1
1,30,23,31,?,1263,2908,?,63,2,1
1,22,?,10,?,1264,2908,?,60,1,1
4,?,?,4,?,1265,1466,?,48,2,133
5,15,?,4,?,12,1243,?,71,1,1
6,10,?,11,?,12,1802,?,65,1,58
7,35,?,4,?,1266,2429,?,64,2,79
4,?,?,4,?,1267,2837,?,53,1,101
6,?,?,10,?,1268,258,3261,69,2,78
6,10,?,26,?,1269,2919,?,69,1,96
4,21,11,37,?,1270,1189,?,66,2,103
15,?,?,4,?,12,2766,?,71,3,2
4,2,28,4,?,1271,1573,?,71,1,81
4,2,11,4,?,1272,2041,?,70,1,95
9,23,?,21,4,220,1269,?,58,3,2
1,27,?,10,?,1273,929,?,71,1,1
2,28,?,4,?,1274,2040,?,71,2,110
6,?,?,4,?,12,3117,?,68,1,25
2,18,?,4,?,1275,631,?,48,1,101
2,10,18,14,?,48,2310,?,71,1,108
7,10,?,5,?,1276,3174,?,62,1,99
7,10,35,5,?,1276,3078,?,63,2,106
7,10,?,5,?,1276,3078,?,66,1,103
5,1,22,5,?,1277,3078,?,61,3,1
23,?,?,4,19,587,3078,?,70,3,3
7,35,?,4,?,1278,651,?,69,1,92
13,11,?,4,?,1279,2281,?,70,1,90
20,?,?,49,?,485,575,?,69,1,60
2,28,?,4,?,1280,1468,?,69,2,89
20,?,?,19,?,1281,1497,?,71,1,54
16,1,?,37,?,1282,3195,?,62,3,1
9,5,15,21,?,1283,3195,?,67,3,1
20,?,?,3,?,1284,3195,?,70,1,61
4,2,10,6,?,177,2146,?,63,2,150
7,?,?,4,?,1285,1616,?,71,1,80
1,30,23,32,?,1286,1245,?,66,3,1
18,?,?,4,?,828,2767,?,50,2,124
5,1,23,45,?,1287,1757,?,69,2,1
7,35,?,4,?,1288,3031,?,71,1,98
5,34,22,2,4,1289,2873,?,70,3,1
10,29,?,10,?,1290,3105,?,70,1,82
2,28,10,26,?,1291,1247,?,69,2,99
3,?,?,4,?,1292,1867,?,70,1,92
1,23,22,19,?,1293,3085,?,71,2,1
23,?,?,4,?,115,447,?,71,2,1
6,10,?,6,?,12,554,?,67,3,29
18,?,?,4,?,1294,274,?,71,1,91
2,28,10,6,?,1295,1223,?,66,3,102
12,23,?,12,?,1296,1902,?,68,1,1
4,2,10,30,?,1297,1122,?,67,2,146
7,10,?,15,?,1298,75,?,69,1,94
5,1,22,51,?,1299,3245,?,67,2,1
20,?,?,19,?,1300,992,?,70,1,75
2,10,?,6,?,93,3099,?,60,2,158
12,?,?,4,?,1301,70,?,71,1,1
27,?,?,4,?,12,2808,?,71,2,2
5,1,26,10,?,1302,1207,?,68,1,1
16,1,?,37,?,847,1969,3537,69,2,2
16,1,?,37,?,1303,1140,3542,70,1,2
16,1,?,37,?,1304,2913,?,67,3,2
16,1,?,37,?,1305,492,?,64,3,2
9,5,22,21,?,1306,2535,?,69,3,6
7,?,?,4,?,1307,2429,?,70,1,95
7,2,10,6,?,1308,869,?,64,2,97
1,26,22,38,?,1309,855,?,70,3,2
7,31,2,4,?,637,762,?,50,3,118
1,25,?,6,?,12,1419,?,67,1,1
15,?,?,4,?,1310,2786,?,68,3,1
6,?,?,4,?,1311,318,?,69,2,70
20,?,?,4,?,1312,1836,?,64,2,58
20,?,?,1,?,1313,1389,?,69,1,91
6,?,?,4,?,12,1065,?,70,2,86
7,10,?,43,?,1314,2205,?,70,1,91
20,?,?,24,?,1315,692,?,70,2,63
7,10,17,6,?,1316,2854,?,64,2,133
24,7,31,4,?,1317,372,?,38,3,103
2,10,?,9,?,1318,2436,1275,67,3,101
13,7,?,21,?,1319,59,?,60,2,29
15,?,?,10,?,565,841,?,70,3,1
6,?,?,4,?,1320,2608,?,68,2,92
5,1,26,5,?,1321,1696,?,67,2,2
6,?,?,4,?,1322,1659,?,69,3,94
2,10,?,25,?,747,1279,?,67,1,118
31,3,18,4,?,1323,2768,?,52,2,98
3,18,?,4,12,1324,2561,?,55,2,90
3,?,?,4,26,261,1871,?,58,1,93
1,22,?,37,?,1325,3088,?,69,2,1
10,35,?,34,?,149,2061,3464,69,1,125
6,10,?,16,19,1326,1871,?,68,2,114
15,?,?,4,?,12,2061,?,69,2,1
6,?,?,4,?,12,2061,?,71,3,40
6,10,?,6,?,1327,2061,?,64,3,83
2,10,?,6,?,1328,1307,?,71,1,117
2,28,10,6,?,1329,638,?,65,2,99
8,?,?,10,?,12,1719,?,67,1,60
8,?,?,10,?,12,1719,?,67,1,60
21,35,?,37,?,399,1063,?,69,3,91
15,?,?,10,?,12,1824,?,70,2,1
7,35,?,4,?,1330,3157,?,70,1,96
4,?,?,21,12,293,2024,?,69,1,102
2,10,35,33,?,1331,622,?,70,1,90
2,28,17,4,?,1332,1954,?,70,2,103
15,1,?,4,?,12,651,?,70,3,2
2,?,?,59,4,1333,195,?,69,2,137
3,10,?,21,?,1334,1054,?,68,2,90
6,17,?,10,?,12,531,?,69,3,49
6,?,?,4,?,1335,2233,?,67,2,61
13,?,?,1,?,1336,869,?,70,1,78
1,27,?,10,?,1337,2924,?,67,1,2
2,10,35,6,?,1338,617,?,68,1,124
15,?,?,4,?,1339,2035,?,69,3,1
4,10,?,23,?,1340,1323,?,34,3,104
2,28,?,4,?,1341,3088,?,67,1,83
27,?,?,4,?,1342,1307,?,66,2,3
2,10,29,6,?,1343,1305,?,52,2,163
23,22,?,4,?,657,2788,?,69,3,2
2,?,?,12,4,1344,2641,?,60,2,119
15,1,?,31,?,1345,2748,?,71,3,2
21,10,35,31,37,1346,2788,?,70,1,74
7,10,?,15,?,560,1400,?,68,1,102
27,?,?,21,?,1347,2681,?,71,1,1
15,?,?,4,?,12,492,?,70,3,1
2,28,29,4,?,1348,1422,?,70,2,83
12,?,?,22,?,1349,2167,?,68,1,1
9,23,22,21,?,1171,2882,?,70,3,2
4,10,?,23,?,1350,750,?,30,2,88
6,10,?,35,4,1351,2442,?,69,1,86
15,?,?,4,?,1352,2788,?,70,1,3
6,10,?,24,16,12,2788,?,69,2,66
15,?,?,10,?,1178,1744,?,69,3,1
1,22,?,4,?,1353,1093,?,63,1,1
6,?,10,14,?,12,2741,?,67,2,90
6,?,?,4,?,12,1514,?,67,3,92
2,10,?,2,?,1354,345,?,64,2,145
7,2,28,4,6,1355,1434,?,67,3,105
7,?,?,21,?,1356,705,?,71,2,95
6,?,?,4,?,1357,300,?,70,3,93
13,?,?,4,?,1358,300,?,29,2,84
6,?,?,12,4,1359,340,?,68,3,112
27,?,?,10,?,1360,2036,?,69,1,1
7,10,?,14,?,1361,264,?,69,1,93
6,10,?,21,?,1362,118,?,69,2,81
4,24,11,4,?,1363,2510,?,10,3,98
4,10,?,6,?,182,176,?,68,2,123
9,15,?,21,?,12,2641,?,68,1,1
5,15,?,4,?,1364,2510,?,63,3,9
16,1,?,37,?,1365,2808,?,71,2,2
6,10,17,39,?,12,107,?,70,3,74
6,10,17,21,38,12,1716,?,68,3,87
1,22,?,21,?,12,442,?,63,1,1
2,10,?,16,68,1366,3039,?,70,1,105
2,10,18,22,?,1367,214,?,69,3,109
6,?,?,4,?,12,2551,3511,63,3,96
15,?,?,21,?,12,1409,?,71,3,1
5,1,34,14,85,1368,2646,?,68,3,1
7,2,10,34,?,1186,2916,?,65,3,125
24,7,10,21,?,1369,644,?,46,2,118
2,18,?,4,26,620,1538,?,59,3,113
18,?,?,4,?,891,1895,?,71,2,100
6,10,?,4,16,12,355,?,68,3,79
7,2,28,4,1,1370,745,?,64,3,86
20,?,?,16,?,1371,745,?,71,2,61
20,?,?,2,?,1372,1463,?,71,2,54
20,?,?,2,?,1372,2944,?,70,2,66
6,?,?,4,?,12,2222,?,59,2,70
7,2,28,4,?,1373,2381,?,67,2,102
7,?,?,4,?,1374,1718,1774,71,1,32
32,23,?,4,?,698,2241,?,55,3,11
7,?,?,4,?,1375,2604,?,69,1,85
29,20,?,10,?,1118,268,3335,70,1,65
4,7,28,21,?,816,123,?,68,2,91
9,12,22,4,?,1376,1472,?,71,3,3
8,?,?,10,?,1376,1484,?,70,3,58
8,?,?,4,?,1376,1495,?,71,2,51
13,2,?,4,19,1377,400,?,45,1,112
2,10,18,10,?,322,1609,?,70,3,135
6,?,?,4,86,1378,2700,?,67,2,103
7,10,?,15,?,1379,1688,?,68,1,116
2,28,?,4,?,1380,2448,?,67,1,72
5,22,?,4,?,730,3035,?,68,3,1
15,27,?,4,?,12,1382,?,69,2,4
3,?,?,4,?,1381,2278,?,61,2,97
3,10,?,26,?,1382,1699,?,68,1,92
32,23,?,4,?,1383,2693,?,55,3,10
30,23,?,4,?,1128,526,?,71,2,2
32,26,25,4,?,1384,2924,?,68,2,3
13,7,2,15,?,363,2600,3354,69,1,93
6,?,?,4,?,12,79,?,65,3,35
4,10,?,19,?,660,2405,?,62,2,93
6,10,17,4,?,1385,2932,?,68,2,99
1,26,22,12,?,1386,2633,?,70,3,3
9,15,1,21,4,218,821,?,63,3,1
8,?,?,21,4,218,1860,?,63,1,47
8,?,?,21,4,218,3150,?,63,1,52
2,28,?,4,?,1387,335,?,60,2,97
5,1,34,14,?,1388,524,?,70,1,1
4,7,2,10,?,603,3165,?,65,2,135
13,2,17,12,4,1389,3131,?,67,2,88
23,?,?,4,?,1390,2727,?,70,3,4
16,1,?,37,?,1391,1264,?,55,3,1
4,2,10,37,?,1392,2985,?,69,3,134
16,1,?,37,?,1391,2659,?,62,3,5
7,10,?,4,?,1393,1777,?,69,1,82
6,?,?,4,?,12,655,?,68,1,106
4,2,10,53,?,1394,1792,?,71,3,97
2,18,?,4,21,1395,503,?,69,1,88
6,?,?,4,?,12,1895,?,71,2,98
4,7,10,5,?,251,207,?,56,3,123
7,10,29,5,?,1396,1020,?,68,1,104
4,2,10,6,?,205,2203,?,67,3,128
20,?,?,10,?,1397,2051,?,71,2,91
2,28,10,1,19,1398,3146,?,69,2,132
20,?,?,4,?,1397,567,?,68,2,88
1,22,?,6,?,1399,2122,?,70,2,1
20,?,?,4,?,1400,1633,?,70,2,58
20,?,?,19,?,1400,1633,?,69,2,57
2,10,18,6,?,1401,1484,?,67,2,126
6,29,?,4,?,1402,1762,?,69,2,101
2,10,?,51,?,1403,1762,3552,65,2,108
26,23,?,4,?,1404,1762,3552,68,3,2
2,10,35,25,?,1405,2788,?,69,2,111
10,18,?,6,?,1065,1762,?,63,3,135
3,10,18,6,5,1406,3060,?,71,1,98
3,10,18,6,5,1406,271,?,71,1,98
3,10,18,6,5,1406,2323,?,71,1,98
4,7,?,4,?,208,1793,?,70,1,102
1,23,22,32,?,1407,2915,?,61,1,1
1,19,23,6,?,1408,2608,?,66,1,1
2,?,?,4,16,522,2790,?,54,3,167
4,21,3,37,?,432,2114,?,68,2,96
2,28,10,6,?,1409,823,?,70,1,109
13,7,?,10,?,1410,1177,?,59,1,78
13,7,?,4,22,1410,2940,3543,60,1,79
13,7,?,22,4,1410,2921,?,61,1,78
29,20,?,4,?,1411,832,?,68,3,62
16,1,?,37,?,1412,1467,?,65,3,1
13,2,17,25,?,1413,2216,?,61,2,96
13,2,17,25,?,1413,2330,?,63,3,95
4,2,10,32,?,1414,698,?,70,2,126
3,18,?,37,4,1415,3011,?,68,1,107
2,10,?,6,?,1416,3092,?,68,1,118
2,?,?,6,?,1417,2429,?,70,2,130
10,29,?,10,?,1418,2429,?,71,1,154
6,?,?,4,?,1419,2904,?,69,1,90
6,17,?,4,?,12,981,?,69,1,107
6,17,?,4,?,12,51,?,70,2,95
2,10,?,6,?,1420,2332,?,70,3,96
9,15,1,21,?,1421,1498,?,67,2,1
9,15,1,21,?,1421,2028,?,68,3,1
5,1,30,45,?,1422,365,?,68,2,1
13,7,?,4,30,1423,681,?,55,1,87
3,18,?,4,?,1424,360,?,69,2,103
12,23,?,16,12,1425,2321,?,63,2,1
7,29,?,4,?,1426,959,?,62,2,109
6,?,?,4,?,1427,1631,?,69,3,101
13,7,?,21,4,1428,2680,?,66,2,103
5,23,22,4,?,1429,1674,?,69,3,1
4,7,?,4,?,1104,1808,?,60,2,110
10,18,?,14,?,1430,2891,?,68,1,104
7,35,?,4,?,1431,2353,3298,57,1,85
13,7,?,4,?,1432,799,?,61,1,88
7,10,18,6,?,417,1341,?,65,1,129
4,2,10,6,?,1433,69,1962,42,3,163
3,?,?,8,4,1434,2425,?,69,1,100
6,?,?,4,?,1435,374,?,69,2,78
4,21,10,37,?,1436,2749,?,65,1,58
13,7,?,12,?,1437,1023,?,68,1,47
4,11,?,4,30,558,2826,?,59,1,110
3,10,18,6,?,1438,3202,?,72,2,145
4,21,10,37,?,1436,2770,?,66,3,58
27,?,?,4,?,1439,2440,?,64,3,1
4,21,10,37,?,1436,989,3408,65,1,56
6,?,?,4,?,12,172,?,71,1,22
1,22,25,6,?,663,1575,?,70,2,1
4,2,10,6,?,1440,1575,?,49,2,161
2,10,?,25,?,1441,1936,?,57,3,141
24,7,29,4,?,1442,2301,?,11,2,115
30,23,22,4,?,1443,1503,?,58,3,7
23,22,?,4,?,1443,2221,?,68,3,1
20,?,?,10,?,1444,2156,?,65,1,68
20,?,?,21,?,1444,1393,3343,60,1,58
2,28,?,21,27,66,1098,?,64,2,90
9,5,1,21,?,1445,1126,?,71,3,1
2,10,?,52,33,1446,2134,3020,70,2,106
1,22,?,8,?,1447,2134,3020,70,3,1
7,10,?,34,?,511,3020,?,65,2,103
23,?,?,4,?,1448,3020,?,69,2,1
7,28,?,4,?,552,3020,?,69,1,71
23,22,?,4,?,1449,2134,3020,71,3,5
1,23,22,6,?,1450,3085,?,70,3,1
15,27,?,4,?,12,2711,?,71,3,2
16,1,?,37,?,1451,2242,?,64,3,1
4,21,10,37,?,1451,730,?,67,3,121
7,3,10,19,52,1452,3189,?,71,1,77
23,22,?,4,?,1453,283,?,67,2,6
1,22,25,30,?,1454,2502,?,71,3,3
16,12,?,37,?,1455,2877,?,68,3,2
16,12,?,37,?,276,246,?,69,3,2
23,22,?,4,?,1456,3026,?,71,3,3
9,1,27,21,?,12,2593,?,71,1,1
6,17,?,4,?,12,2867,?,64,3,77
1,22,?,10,?,1457,2547,?,62,1,1
13,7,?,21,12,1458,2939,?,70,1,86
12,?,?,4,?,1459,2508,?,72,3,1
12,34,?,24,?,1460,2991,?,71,3,2
13,29,?,24,?,1460,2189,?,71,1,60
13,2,?,4,?,1461,3236,?,70,2,111
16,1,?,37,?,1462,1699,?,67,2,1
6,?,?,4,?,1463,2697,?,68,3,103
4,10,?,31,23,1464,3098,?,69,3,129
22,?,?,4,?,1240,816,?,69,3,1
2,?,?,4,?,1465,745,?,70,1,106
2,28,10,21,?,1466,2686,?,69,3,105
14,?,?,37,?,240,539,?,69,2,1
4,11,?,4,37,1317,1739,3484,50,2,139
4,21,10,37,?,240,709,3548,70,1,101
4,21,10,37,?,240,1818,?,70,1,91
13,2,10,30,?,1467,1067,?,70,1,88
24,7,10,6,?,1468,2587,?,31,3,137
10,11,?,37,?,12,153,?,65,3,22
4,?,?,21,4,1012,2956,?,47,2,130
12,?,?,4,?,1469,1856,?,69,2,2
18,?,?,30,?,1470,2851,?,68,2,110
4,7,10,6,?,1471,3101,?,66,1,112
7,10,?,6,?,422,611,?,58,3,148
5,1,22,16,26,1472,1828,?,68,3,2
28,?,?,4,?,1473,901,?,70,1,100
1,22,?,5,?,1474,1825,3338,67,2,1
7,10,?,15,?,1475,345,?,69,1,101
13,7,?,4,?,1476,2084,?,49,1,96
5,23,22,4,?,766,949,?,70,3,1
7,28,?,4,?,1477,2948,?,68,2,90
2,?,?,4,?,59,1842,?,66,2,103
2,10,?,15,?,363,2672,?,64,2,99
7,35,?,4,12,1228,2432,?,59,1,99
1,30,23,37,?,1478,171,3507,69,3,2
2,?,?,4,19,1479,1612,?,57,3,93
4,18,?,4,21,1480,1961,?,66,1,90
13,2,?,4,?,1481,993,?,71,1,90
22,33,?,4,12,1482,2035,?,70,3,4
1,?,30,22,?,1483,861,?,64,2,1
1,22,25,10,?,1484,1442,?,68,2,2
2,28,?,4,?,1485,1991,?,69,2,95
7,17,?,4,12,1486,2078,?,63,2,92
7,10,17,12,?,1486,684,3349,68,1,102
12,?,?,12,?,1487,900,?,50,2,5
13,7,?,4,21,1488,1761,?,70,1,90
7,2,10,4,21,1489,237,?,53,2,137
22,?,?,4,?,1490,913,?,64,3,6
5,26,22,4,?,1491,377,?,71,3,5
3,18,?,4,19,1492,3119,?,55,1,98
2,28,10,6,?,1493,491,?,67,3,109
2,10,?,34,?,1494,3241,?,70,1,150
23,22,?,4,?,1495,3213,?,71,3,5
16,1,?,37,?,1496,593,?,69,2,1
9,1,27,21,?,1497,1406,?,69,3,2
1,30,34,14,?,1498,2747,?,65,3,3
7,10,29,6,?,465,2537,?,65,1,93
13,7,?,4,?,1499,265,3539,71,1,96
10,18,?,6,?,1500,241,3540,64,2,133
7,28,?,4,?,1501,2031,?,69,2,57
6,?,?,10,?,12,2557,?,71,2,98
24,7,29,4,?,660,2031,?,30,3,110
9,1,27,21,?,1502,1088,?,68,2,2
23,?,?,4,?,1503,1313,?,70,2,2
15,?,?,21,?,12,1913,?,69,3,1
9,15,1,21,?,12,2305,3533,71,3,1
1,30,23,32,?,1504,738,3322,71,2,1
12,26,23,4,21,1505,1670,?,71,3,1
5,1,34,43,?,1506,1460,?,71,3,1
3,18,?,4,?,81,1821,?,67,2,95
7,28,10,9,?,1507,1445,?,68,1,102
12,22,?,4,?,1508,1717,?,71,3,3
22,?,?,4,?,1509,2259,?,70,3,3
20,?,?,21,?,1510,1346,?,70,2,66
20,?,?,24,?,1511,3141,?,71,1,65
30,22,?,4,?,1512,1040,?,70,3,15
4,?,?,12,?,1513,1295,?,67,1,114
20,?,?,16,?,1514,1332,?,69,1,96
6,?,?,4,?,12,318,?,68,2,97
12,23,?,19,?,1515,2620,?,69,3,1
6,?,?,4,?,12,2472,?,68,1,82
13,6,?,4,?,1516,2341,?,68,3,78
6,10,?,10,?,1517,1440,3436,71,1,67
2,10,?,6,?,590,1568,?,67,1,127
2,10,18,14,19,48,1472,?,70,2,126
6,10,17,12,?,12,1655,?,67,3,90
4,2,10,6,?,1518,1730,?,71,2,143
16,5,?,37,?,1519,188,?,60,3,2
2,10,18,6,?,1520,576,?,69,2,106
16,1,?,37,?,1282,2417,?,59,3,1
2,10,?,6,?,1065,3161,?,59,3,155
12,23,?,10,?,1521,2174,?,70,1,3
6,10,?,21,?,1522,2908,?,67,3,57
2,10,?,6,?,1523,1316,?,62,3,121
22,?,?,4,21,214,1042,?,69,2,1
7,10,?,49,?,485,1594,?,67,3,91
7,10,?,5,?,1276,964,?,65,2,100
7,10,?,5,?,1276,891,?,65,2,101
12,22,?,30,?,1524,2553,?,61,3,3
12,?,?,26,30,1525,1179,?,67,2,2
1,23,?,10,?,1526,881,?,68,1,2
2,10,29,6,?,1527,3022,?,65,3,137
7,2,10,6,?,1528,2590,?,62,2,138
2,10,35,25,3,67,1211,?,64,3,125
5,1,34,14,?,1529,1977,?,71,2,1
7,10,35,5,?,1530,2525,?,66,1,95
2,10,35,6,?,813,2413,?,66,3,154
16,1,?,37,?,1531,2413,?,67,3,2
13,7,29,4,21,1532,2413,?,59,2,116
4,7,10,35,?,1533,2413,?,70,1,116
4,2,10,35,?,1534,3239,?,68,1,97
2,10,35,6,?,1535,1902,?,69,1,129
7,2,28,6,?,1536,2192,?,70,3,111
4,21,11,4,37,1537,3174,?,61,2,117
4,11,?,4,?,1538,2505,?,67,1,65
22,?,?,4,?,1539,2840,?,69,3,4
2,10,29,6,?,559,1106,?,52,1,158
4,2,?,4,?,1540,2905,?,39,2,110
2,28,10,6,?,1541,1575,?,70,3,108
7,10,?,15,?,1542,1280,?,69,1,79
7,2,10,46,?,1543,972,3409,68,2,95
1,22,33,31,?,134,2918,?,72,3,1
7,?,?,4,?,1544,2018,?,69,1,81
6,?,?,4,?,1545,2866,?,65,2,86
20,?,?,30,?,1546,626,?,70,3,70
20,?,?,4,?,1547,1252,?,68,2,68
20,?,?,33,?,1548,1244,?,70,1,86
10,29,?,21,?,1549,1348,3481,69,3,138
7,3,10,54,?,1550,258,?,70,2,110
5,22,?,4,?,1551,2961,?,70,3,3
1,30,23,32,?,158,785,?,65,1,1
1,?,22,10,?,1552,2293,?,64,1,1
7,35,?,4,?,1553,1533,?,70,1,78
2,28,10,16,68,1554,1510,?,70,3,127
7,10,29,6,?,1555,1203,?,66,2,129
3,28,?,4,?,1556,157,?,69,1,91
5,15,?,10,?,12,3048,?,71,2,1
4,7,2,6,?,386,2718,?,66,1,179
7,10,35,2,?,1557,2936,?,66,2,79
9,5,1,21,?,1558,629,?,68,3,2
5,26,23,4,?,1559,1795,?,69,3,1
23,22,?,4,?,1560,1795,?,67,3,1
2,28,10,6,?,1561,1795,?,67,2,93
2,?,?,4,?,828,1030,?,38,2,94
2,28,?,21,?,1562,1576,3553,67,1,79
23,?,?,46,?,1563,1299,?,70,3,4
20,?,?,4,?,1564,2643,?,70,1,67
2,10,?,6,?,1565,243,?,61,3,99
20,?,?,4,?,1566,2290,?,70,1,62
6,17,?,10,?,1567,675,?,57,2,55
7,31,?,4,?,1568,3003,?,60,2,101
7,31,?,4,12,1568,2647,?,56,2,88
6,?,?,4,?,1569,3015,?,67,3,95
9,5,15,21,?,1570,2290,?,66,2,1
13,7,?,4,12,1571,2877,?,62,1,87
12,23,?,54,?,12,236,?,69,1,1
6,17,?,4,?,1572,2903,?,67,3,83
6,?,?,4,?,1573,120,?,68,2,90
23,22,?,4,?,1574,2858,?,66,3,4
2,10,?,6,?,1575,625,?,62,2,100
12,23,?,4,?,1576,3210,?,71,2,3
20,?,?,10,?,1577,287,?,69,3,73
4,7,2,6,?,345,2841,?,51,2,151
5,1,23,38,?,1578,205,?,67,3,1
6,10,?,2,?,12,1606,?,70,3,109
12,?,?,4,?,1579,964,?,70,3,2
23,?,?,4,?,1580,1472,?,69,2,2
1,30,22,25,?,1581,823,?,67,1,1
7,2,10,6,?,1440,1305,?,59,1,109
27,25,?,4,56,12,1804,?,71,1,2
12,?,?,10,?,1582,1804,?,69,1,1
6,3,?,4,?,12,234,?,69,2,89
3,28,?,4,?,1583,2436,1275,70,1,99
5,1,22,10,?,858,1561,?,68,1,1
6,10,?,30,?,1584,3251,?,69,2,86
32,25,?,12,4,1585,2701,?,67,3,5
3,18,?,4,?,883,2484,?,68,1,85
7,2,10,5,?,1586,2441,3561,67,1,98
2,10,35,6,19,334,2428,3487,55,3,111
7,10,?,19,52,1587,1736,?,68,2,95
6,?,?,4,35,1588,1148,?,67,2,89
7,3,?,4,12,1589,2407,?,67,2,97
3,28,?,4,?,1590,3016,?,70,1,90
2,28,?,30,?,1591,3251,22,50,2,104
4,10,?,25,?,1592,2683,?,68,1,119
2,28,10,19,52,775,1895,?,63,2,92
6,?,?,4,?,1593,1312,?,69,2,107
7,35,?,4,?,1594,2418,?,53,2,124
22,?,?,12,?,1595,857,?,69,3,11
18,?,?,4,?,1596,791,?,69,1,87
1,?,22,22,?,1597,315,?,63,1,1
1,27,?,12,?,1598,537,1378,70,3,2
13,?,?,4,31,1599,1387,?,68,1,94
12,34,?,24,?,1600,640,?,69,3,1
4,10,?,23,31,1601,2210,?,67,1,118
25,?,33,4,12,1602,408,?,67,2,1
4,7,28,4,?,1603,2096,?,67,1,86
5,26,?,12,21,268,2730,?,68,3,5
2,28,?,4,?,1145,2815,?,68,3,102
4,31,11,4,?,1604,63,?,56,1,122
12,?,?,10,?,1605,1202,?,71,3,1
1,?,30,22,?,1606,1801,?,69,3,2
6,?,?,4,?,835,2334,?,71,1,65
25,?,?,4,?,1607,419,?,67,3,3
2,10,?,34,?,1608,208,?,67,3,118
2,35,11,4,?,1609,215,?,65,3,126
2,?,?,4,?,1610,1032,?,70,1,87
4,7,2,6,?,181,1769,?,28,3,156
3,?,?,4,?,1611,2421,?,68,1,97
1,30,22,31,?,1612,947,?,70,3,1
4,10,?,23,31,1613,563,?,49,3,89
16,5,1,10,?,1614,745,?,71,2,2
4,7,10,14,?,1615,2848,?,68,1,97
6,?,?,4,?,12,2236,?,69,2,40
2,10,?,6,?,811,2684,?,64,3,143
1,22,?,27,?,1616,1861,?,70,3,2
3,18,?,4,?,1617,2436,1275,70,1,89
13,7,?,4,22,1618,2240,?,69,3,81
16,1,30,37,?,1619,2735,?,70,3,1
1,22,?,37,?,1620,2067,?,68,3,1
4,?,?,4,?,1621,2458,?,69,2,88
2,28,18,4,?,1622,1615,?,71,1,87
1,?,27,22,?,191,569,?,67,1,1
5,1,22,15,?,1623,407,?,70,2,1
3,10,18,6,?,1624,2821,?,62,1,96
10,18,?,31,?,1625,2982,?,68,1,104
